order,occurence,word,
1415,8,universe,
1416,8,urbanism,
1417,8,version,
1418,8,week,
1419,8,willits,
1420,8,win,
1421,8,wonderful,
1422,8,writer,
1423,7,abhay,
1424,7,academy,
1425,7,aim,
1426,7,akt,
1427,7,analysis,
1428,7,analytical,
1429,7,appear,
1430,7,approaches,
1431,7,archdaily,
1432,7,argument,
1433,7,assets,
1434,7,associated,
1435,7,authentic,
1436,7,basically,
1437,7,beaux,
1438,7,begin,
1439,7,benefits,
1440,7,blue,
1441,7,brilliant,
1442,7,buenos,
1443,7,canvas,
1444,7,career,
1445,7,cascade,
1446,7,civil,
1447,7,civilization,
1448,7,classes,
1449,7,clearly,
1450,7,clorindo,
1451,7,collaboration,
1452,7,collective,
1453,7,comfortable,
1454,7,compile,
1455,7,complexity,
1456,7,concepts,
1457,7,condition,
1458,7,conflict,
1459,7,connected,
1460,7,conscious,
1461,7,considered,
1462,7,constructing,
1463,7,core,
1464,7,cover,
1465,7,cristina,
1466,7,criticism,
1467,7,decide,
1468,7,defensive,
1469,7,defined,
1470,7,degree,
1471,7,despite,
1472,7,distinct,
1473,7,driven,
1474,7,eclecticism,
1475,7,efficiency,
1476,7,emotional,
1477,7,energy,
1478,7,engineers,
1479,7,english,
1480,7,equipment,
1481,7,essentially,
1482,7,established,
1483,7,eternity,
1484,7,europe,
1485,7,exciting,
1486,7,expensive,
1487,7,express,
1488,7,expressed,
1489,7,extraordinary,
1490,7,factory,
1491,7,fear,
1492,7,feels,
1493,7,feet,
1494,7,fist,
1495,7,floors,
1496,7,flow,
1497,7,forces,
1498,7,fulfill,
1499,7,gardens,
1500,7,gas,
1501,7,gave,
1502,7,generated,
1503,7,geometrical,
1504,7,geometry,
1505,7,gonna,
1506,7,grace,
1507,7,groups,
1508,7,guide,
1509,7,gulp,
1510,7,guy,
1511,7,hands,
1512,7,harmony,
1513,7,heavy,
1514,7,held,
1515,7,hence,
1516,7,hill,
1517,7,humanity,
1518,7,identified,
1519,7,illusion,
1520,7,implement,
1521,7,implemented,
1522,7,impressionists,
1523,7,increase,
1524,7,india,
1525,7,indoors,
1526,7,initial,
1527,7,initializers,
1528,7,inspiration,
1529,7,io,
1530,7,italy,
1531,7,joe,
1532,7,john,
1533,7,journal,
1534,7,lets,
1535,7,limited,
1536,7,list,
1537,7,lloyd,
1538,7,machine,
1539,7,majority,
1540,7,management,
1541,7,mechanical,
1542,7,messages,
1543,7,minds,
1544,7,modernists,
1545,7,months,
1546,7,monumental,
1547,7,moves,
1548,7,mr,
1549,7,narofsky,
1550,7,notice,
1551,7,numbers,
1552,7,obvious,
1553,7,ohio,
1554,7,olympics,
